"","taxon","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","KO","threshold","Where_Enriched","Gene_Abbreviation","Gene_Name","EC_Number","Gene_Prefix","Variable"
"20","sp5317",37.9476442523402,3.66758174407684,0.920971084999703,3.98229847148569,6.82519915715766e-05,0.00368899194114141,"PE vs. PV","K12434","Enriched","PE","pks7","polyketide synthase 7",NA,"pks","x"
"21","sp5406",10.0546385346558,-4.39048002645943,1.09870704962844,-3.99604246458982,6.44101852421553e-05,0.00363846252012489,"PE vs. PV","K12949","Enriched","PV","ctpB","cation-transporting P-type ATPase B","EC:7.2.2.-","ctp","x"
"22","sp5437",3.98797551814167,5.36138500497663,1.4831873181176,3.61477268547649,0.000300611264947919,0.00968471759979996,"PE vs. PV","K12991","Enriched","PE","rfbG","rhamnosyltransferase","EC:2.4.1.-","rfb","x"
"23","sp5508",5.65821030698299,-5.75517784091969,1.538951472806,-3.73967466981021,0.000184258574629958,0.00713047975195224,"PE vs. PV","K13308","Enriched","PV","desI, eryCIV","dTDP-4-amino-4,6-dideoxy-D-glucose transaminase","EC:2.6.1.33","des","x"
"24","sp5575",194.396619943998,-2.26737975330932,0.448465203789743,-5.05586550338553,4.28443211581246e-07,0.000101675864693777,"PE vs. PV","K13585","Enriched","PV","hfaA","holdfast attachment protein HfaA",NA,"hfa","x"
"25","sp5576",195.126031878076,-2.26523566622665,0.423405249867232,-5.3500415191757,8.79340554816451e-08,3.12327304595054e-05,"PE vs. PV","K13586","Enriched","PV","hfaB","holdfast attachment protein HfaB",NA,"hfa","x"
"26","sp5841",141.673943874324,-4.20091272473479,0.62694984160516,-6.70055632198474,2.07627553801293e-11,4.52628067286818e-08,"PE vs. PV","K14451","Enriched","PV","mcl2","(3S)-malyl-CoA thioesterase","EC:3.1.2.30","mcl","x"
"27","sp6316",44.0483654117496,3.36342455565008,0.901110375668049,3.73253337933942,0.000189563566920432,0.00724997501555336,"PE vs. PV","K16191","Enriched","PE","K16191, arfA","peptidoglycan-binding protein ArfA",NA,"K16","x"
"28","sp6317",43.8108474640886,3.40761221616389,0.94768504519497,3.59572226389077,0.000323492791802421,0.00992980864622835,"PE vs. PV","K16192","Enriched","PE","K16192, arfB","uncharacterized membrane protein ArfB",NA,"K16","x"
"29","sp6325",164.379618803441,-2.73050082848519,0.679100497451245,-4.02076104896569,5.80104250430322e-05,0.0033873944623342,"PE vs. PV","K16210","Enriched","PV","togT, rhiT","oligogalacturonide transporter",NA,"tog","x"
"30","sp6391",5.65821030698299,-5.75517784091969,1.538951472806,-3.73967466981021,0.000184258574629958,0.00713047975195224,"PE vs. PV","K16380","Enriched","PV","rapN","cytochrome P450 RapN",NA,"rap","x"
"31","sp6612",8.16581226318648,4.7873884340968,1.07651259368015,4.44712719776988,8.70263109057846e-06,0.000758869431098442,"PE vs. PV","K17382","Enriched","PE","LACTB","serine beta-lactamase-like protein LACTB, mitochondrial",NA,"LAC","x"
"32","sp6707",12.9930324271128,-6.95495561123603,1.46231969056722,-4.75611157813122,1.9735741642162e-06,0.000291288132104205,"PE vs. PV","K18058","Enriched","PV","asnO","L-asparagine oxygenase","EC:1.14.11.39","asn","x"
"33","sp6831",162.975121187139,-2.45230327131944,0.568037355807947,-4.31715140957835,1.5805574340778e-05,0.0012160994845728,"PE vs. PV","K18337","Enriched","PV","LRA1","L-rhamnose 1-dehydrogenase","EC:1.1.1.378 1.1.1.377 1.1.1.173","LRA","x"
"34","sp6972",172.956097621321,-2.46418597702627,0.515599554868574,-4.77926319710339,1.75938755004802e-06,0.000267590571565443,"PE vs. PV","K18786","Enriched","PV","E2.4.1.321","cellobionic acid phosphorylase","EC:2.4.1.321","E2.","x"
"35","sp6995",5.72824437270491,-5.51464990932032,1.44408648579408,-3.81878091344918,0.000134112803843519,0.00565869507830076,"PE vs. PV","K18845","Enriched","PV","rmt, armA","16S rRNA (guanine(1405)-N(7))-methyltransferase","EC:2.1.1.179","rmt","x"
"36","sp7051",44.1061460525903,3.41832815004824,0.947535692078612,3.60759829801181,0.000309044469265092,0.00971707129323895,"PE vs. PV","K18956","Enriched","PE","whiB5","WhiB family transcriptional regulator, redox-sensing transcriptional regulator",NA,"whi","x"
"37","sp7104",8.37277212873236,-3.82995167560887,0.867067800460505,-4.41713055608196,1.00019822372342e-05,0.000849519010798854,"PE vs. PV","K19088","Enriched","PV","cst1, cas8a","CRISPR-associated protein Cst1",NA,"cst","x"
"38","sp7105",8.89770289537636,-3.1328495916727,0.805838492807762,-3.88768918292423,0.000101203103389564,0.00456460893908792,"PE vs. PV","K19090","Enriched","PV","cas5t","CRISPR-associated protein Cas5t",NA,"cas","x"
"39","sp7268",69.3703502501778,5.15016710745813,1.06053253772823,4.85620848417374,1.19654720955113e-06,0.000200690252451071,"PE vs. PV","K19510","Enriched","PE","gfrF","fructoselysine-6-phosphate deglycase",NA,"gfr","x"
